"SledRowID","SampleRowID","StartMeter","EndMeter","TotalMeter","SledComments"
"{017259A7-5D69-11D4-B974-006008C01BCF}","{017249E8-5D69-11D4-B974-006008C01BCF}",,,,
"{017259A8-5D69-11D4-B974-006008C01BCF}","{017249E9-5D69-11D4-B974-006008C01BCF}",39942,51711,11769,
"{017259A9-5D69-11D4-B974-006008C01BCF}","{017249EA-5D69-11D4-B974-006008C01BCF}",51711,64140,12429,
"{017259AA-5D69-11D4-B974-006008C01BCF}","{017249EB-5D69-11D4-B974-006008C01BCF}",64140,76027,11887,
"{017259AB-5D69-11D4-B974-006008C01BCF}","{017249EC-5D69-11D4-B974-006008C01BCF}",180743,192785,12042,
"{017259AC-5D69-11D4-B974-006008C01BCF}","{017249ED-5D69-11D4-B974-006008C01BCF}",192785,207841,15056,
"{017259AD-5D69-11D4-B974-006008C01BCF}","{017249EE-5D69-11D4-B974-006008C01BCF}",207841,219819,11978,
"{017259AE-5D69-11D4-B974-006008C01BCF}","{017249EF-5D69-11D4-B974-006008C01BCF}",135836,145895,10059,
"{017259AF-5D69-11D4-B974-006008C01BCF}","{017249F0-5D69-11D4-B974-006008C01BCF}",682010,695701,13691,
"{017259B0-5D69-11D4-B974-006008C01BCF}","{017249F1-5D69-11D4-B974-006008C01BCF}",722504,736284,13780,
"{017259B1-5D69-11D4-B974-006008C01BCF}","{017249F2-5D69-11D4-B974-006008C01BCF}",736284,748285,12001,
"{017259B2-5D69-11D4-B974-006008C01BCF}","{017249F3-5D69-11D4-B974-006008C01BCF}",748285,762433,14148,
"{017259B3-5D69-11D4-B974-006008C01BCF}","{017249F4-5D69-11D4-B974-006008C01BCF}",762433,776224,13791,
"{017259B4-5D69-11D4-B974-006008C01BCF}","{017249F5-5D69-11D4-B974-006008C01BCF}",776224,787682,11458,
"{017259B5-5D69-11D4-B974-006008C01BCF}","{017249F6-5D69-11D4-B974-006008C01BCF}",787682,802019,14337,
"{017259B6-5D69-11D4-B974-006008C01BCF}","{017249F7-5D69-11D4-B974-006008C01BCF}",981014,991954,10940,
"{017259B7-5D69-11D4-B974-006008C01BCF}","{017249F8-5D69-11D4-B974-006008C01BCF}",969820,981014,11194,
"{017259B8-5D69-11D4-B974-006008C01BCF}","{017249F9-5D69-11D4-B974-006008C01BCF}",957734,969820,12086,
"{017259B9-5D69-11D4-B974-006008C01BCF}","{017249FA-5D69-11D4-B974-006008C01BCF}",920296,932844,12548,
"{017259BA-5D69-11D4-B974-006008C01BCF}","{017249FB-5D69-11D4-B974-006008C01BCF}",932844,945635,12791,
"{017259BB-5D69-11D4-B974-006008C01BCF}","{017249FC-5D69-11D4-B974-006008C01BCF}",945635,957734,12099,
"{017259BC-5D69-11D4-B974-006008C01BCF}","{017249FD-5D69-11D4-B974-006008C01BCF}",868464,879626,11162,
"{017259BD-5D69-11D4-B974-006008C01BCF}","{017249FE-5D69-11D4-B974-006008C01BCF}",855553,868464,12911,
"{017259BE-5D69-11D4-B974-006008C01BCF}","{017249FF-5D69-11D4-B974-006008C01BCF}",842226,854234,12008,
"{017259BF-5D69-11D4-B974-006008C01BCF}","{01724A00-5D69-11D4-B974-006008C01BCF}",879626,892884,13258,
"{017259C0-5D69-11D4-B974-006008C01BCF}","{01724A01-5D69-11D4-B974-006008C01BCF}",892884,906409,13525,
"{017259C1-5D69-11D4-B974-006008C01BCF}","{01724A02-5D69-11D4-B974-006008C01BCF}",906409,920302,13893,
"{017259C2-5D69-11D4-B974-006008C01BCF}","{01724A03-5D69-11D4-B974-006008C01BCF}",801831,813831,12000,
"{017259C3-5D69-11D4-B974-006008C01BCF}","{01724A04-5D69-11D4-B974-006008C01BCF}",813831,827524,13693,
"{017259C4-5D69-11D4-B974-006008C01BCF}","{01724A05-5D69-11D4-B974-006008C01BCF}",828958,842226,13268,
"{017259C5-5D69-11D4-B974-006008C01BCF}","{01724A06-5D69-11D4-B974-006008C01BCF}",164601,177754,13153,
